Term	UnitsName	UnitsTypeCV	UnitsAbbreviation	UnitsLink	limnoflag	unitabbv
netherlandsAntillianGuilder	Netherlands Antillian Guilder	Currency	ANG	http://qudt.org/vocab/unit#NetherlandsAntillianGuilder	NA	ang
newIsraeliShekel	New Israeli Shekel	Currency	ILS	http://qudt.org/vocab/unit#NewIsraeliShekel	NA	ils
newTaiwanDollar	New Taiwan Dollar	Currency	TWD	http://qudt.org/vocab/unit#NewTaiwanDollar	NA	twd
newTurkishLira	New Turkish Lira	Currency	TRY	http://qudt.org/vocab/unit#NewTurkishLira	NA	try
newZealandDollar	New Zealand Dollar	Currency	NZD	http://qudt.org/vocab/unit#NewZealandDollar	NA	nzd
ngultrum	Ngultrum	Currency	BTN	http://qudt.org/vocab/unit#Ngultrum	NA	btn
northKoreanWon	North Korean Won	Currency	KPW	http://qudt.org/vocab/unit#NorthKoreanWon	NA	kpw
norwegianKrone	Norwegian Krone	Currency	NOK	http://qudt.org/vocab/unit#NorwegianKrone	NA	nok
nuevoSol	Nuevo Sol	Currency	PEN	http://qudt.org/vocab/unit#NuevoSol	NA	pen
ouguiya	Ouguiya	Currency	MRO	http://qudt.org/vocab/unit#Ouguiya	NA	mro
pa'Anga	Pa'Anga	Currency	TOP	http://qudt.org/vocab/unit#Paanga	NA	top
pakistanRupee	Pakistan Rupee	Currency	PKR	http://qudt.org/vocab/unit#PakistanRupee	NA	pkr
palladium(OneTroyOunce)	Palladium (One Troy Ounce)	Currency	XPD	http://qudt.org/vocab/unit#Palladium-OunceTroy	NA	xpd
pataca	Pataca	Currency	MOP	http://qudt.org/vocab/unit#Pataca	NA	mop
pesoUruguayo	Peso Uruguayo	Currency	UYU	http://qudt.org/vocab/unit#UruguayPeso	NA	uyu
philippinePeso	Philippine Peso	Currency	PHP	http://qudt.org/vocab/unit#PhilippinePeso	NA	php
platinum(OneTroyOunce)	Platinum (One Troy Ounce)	Currency	XPT	http://qudt.org/vocab/unit#Platinum-OunceTroy	NA	xpt
poundSterling	Pound Sterling	Currency	GBP	http://qudt.org/vocab/unit#PoundSterling	NA	gbp
pula	Pula	Currency	BWP	http://qudt.org/vocab/unit#Pula	NA	bwp
qatariRial	Qatari Rial	Currency	QAR	http://qudt.org/vocab/unit#QatariRial	NA	qar
quetzal	Quetzal	Currency	GTQ	http://qudt.org/vocab/unit#Quetzal	NA	gtq
rialOmani	Rial Omani	Currency	OMR	http://qudt.org/vocab/unit#OmaniRial	NA	omr
riel	Riel	Currency	KHR	http://qudt.org/vocab/unit#Riel	NA	khr
romanianNewLeu	Romanian New Leu	Currency	RON	http://qudt.org/vocab/unit#RomanianNeLeu	NA	ron
rufiyaa	Rufiyaa	Currency	MVR	http://qudt.org/vocab/unit#Rufiyaa	NA	mvr
rupiah	Rupiah	Currency	IDR	http://qudt.org/vocab/unit#Rupiah	NA	idr
russianRuble	Russian Ruble	Currency	RUB	http://qudt.org/vocab/unit#RussianRuble	NA	rub
rwandaFranc	Rwanda Franc	Currency	RWF	http://qudt.org/vocab/unit#RwandaFranc	NA	rwf
saintHelenaPound	Saint Helena Pound	Currency	SHP	http://qudt.org/vocab/unit#SaintHelenaPound	NA	shp
samoanTala	Samoan Tala	Currency	WST	http://qudt.org/vocab/unit#SamoanTala	NA	wst
saudiRiyal	Saudi Riyal	Currency	SAR	http://qudt.org/vocab/unit#SaudiRiyal	NA	sar
serbianDinar	Serbian Dinar	Currency	RSD	http://qudt.org/vocab/unit#SerbianDinar	NA	rsd
seychellesRupee	Seychelles Rupee	Currency	SCR	http://qudt.org/vocab/unit#SeychellesRupee	NA	scr
silver(OneTroyOunce)	Silver (One Troy Ounce)	Currency	XAG	http://qudt.org/vocab/unit#Silver-OunceTroy	NA	xag
singaporeDollar	Singapore Dollar	Currency	SGD	http://qudt.org/vocab/unit#SingaporeDollar	NA	sgd
slovakKoruna	Slovak Koruna	Currency	SKK	http://qudt.org/vocab/unit#SlovakKoruna	NA	skk
solomonIslandsDollar	Solomon Islands Dollar	Currency	SBD	http://qudt.org/vocab/unit#SolomonIslandsDollar	NA	sbd
som	Som	Currency	KGS	http://qudt.org/vocab/unit#Som	NA	kgs
somaliShilling	Somali Shilling	Currency	SOS	http://qudt.org/vocab/unit#SomaliShilling	NA	sos
somoni	Somoni	Currency	TJS	http://qudt.org/vocab/unit#Somoni	NA	tjs
southAfricanRand	South African Rand	Currency	ZAR	http://qudt.org/vocab/unit#SouthAfricanRand	NA	zar
southKoreanWon	South Korean Won	Currency	KRW	http://qudt.org/vocab/unit#SouthKoreanWon	NA	krw
specialDrawingRights	Special Drawing Rights	Currency	XDR	http://qudt.org/vocab/unit#SpecialDrawingRights	NA	xdr
sriLankaRupee	Sri Lanka Rupee	Currency	LKR	http://qudt.org/vocab/unit#SriLankaRupee	NA	lkr
sudanesePound	Sudanese Pound	Currency	SDG	http://qudt.org/vocab/unit#SudanesePound	NA	sdg
surinamDollar	Surinam Dollar	Currency	SRD	http://qudt.org/vocab/unit#SurinamDollar	NA	srd
swedishKrona	Swedish Krona	Currency	SEK	http://qudt.org/vocab/unit#SwedishKrona	NA	sek
swissFranc	Swiss Franc	Currency	CHF	http://qudt.org/vocab/unit#SwissFranc	NA	chf
syrianPound	Syrian Pound	Currency	SYP	http://qudt.org/vocab/unit#SyrianPound	NA	syp
tanzanianShilling	Tanzanian Shilling	Currency	TZS	http://qudt.org/vocab/unit#TanzanianShilling	NA	tzs
tenge	Tenge	Currency	KZT	http://qudt.org/vocab/unit#Tenge	NA	kzt
trinidadAndTobagoDollar	Trinidad And Tobago Dollar	Currency	TTD	http://qudt.org/vocab/unit#TrinidadAndTobagoDollar	NA	ttd
tugrik	Tugrik	Currency	MNT	http://qudt.org/vocab/unit#Tugrik	NA	mnt
tunisianDinar	Tunisian Dinar	Currency	TND	http://qudt.org/vocab/unit#TunisianDinar	NA	tnd
ugandaShilling	Uganda Shilling	Currency	UGX	http://qudt.org/vocab/unit#UgandaShilling	NA	ugx
uicFranc(SpecialSettlementCurrency)	Uic Franc (Special Settlement Currency)	Currency	XFU	http://qudt.org/vocab/unit#UICFranc	NA	xfu
unidadDeValorReal	Unidad De Valor Real	Currency	COU	http://qudt.org/vocab/unit#UnidadDeValorReal	NA	cou
unidadesDeFormento(FundsCode)	Unidades De Formento (Funds Code)	Currency	CLF	http://qudt.org/vocab/unit#UnidadesDeFormento	NA	clf
unitedArabEmiratesDirham	United Arab Emirates Dirham	Currency	AED	http://qudt.org/vocab/unit#UAEDirham	NA	aed
unitedStatesDollar(NextDay)(FundsCode)	United States Dollar (Next Day) (Funds Code)	Currency	USN	http://qudt.org/vocab/unit#USDollar-NextDay	NA	usn
unitedStatesDollar(SameDay)(FundsCode)	United States Dollar (Same Day) (Funds Code)	Currency		http://qudt.org/vocab/unit#USDollar-SameDay	NA	
usDollar	US Dollar	Currency	USD	http://qudt.org/vocab/unit#USDollar	NA	usd
uzbekistanSom	Uzbekistan Som	Currency	UZS	http://qudt.org/vocab/unit#UzbekistanSom	NA	uzs
vatu	Vatu	Currency	VUV	http://qudt.org/vocab/unit#Vatu	NA	vuv
venezuelanBolivar	Venezuelan Bolivar	Currency	VEB	http://qudt.org/vocab/unit#VenezuelanBolvar	NA	veb
vietnamese??Ng	Vietnamese ??Ng	Currency	VND	http://qudt.org/vocab/unit#VietnameseDong	NA	vnd
wirEuro(ComplementaryCurrency)	Wir Euro (Complementary Currency)	Currency	CHE	http://qudt.org/vocab/unit#WIREuro	NA	che
wirFranc(ComplementaryCurrency)	Wir Franc (Complementary Currency)	Currency	CHW	http://qudt.org/vocab/unit#WIRFranc	NA	chw
yemeniRial	Yemeni Rial	Currency	YER	http://qudt.org/vocab/unit#YemeniRial	NA	yer
yuanRenminbi	Yuan Renminbi	Currency	CNY	http://qudt.org/vocab/unit#YuanRenminbi	NA	cny
zambianKwacha	Zambian Kwacha	Currency	ZMK	http://qudt.org/vocab/unit#ZambianKwacha	NA	zmk
zimbabweDollar	Zimbabwe Dollar	Currency	ZWD	http://qudt.org/vocab/unit#ZimbabweDollar	NA	zwd
zloty	Zloty	Currency	PLN	http://qudt.org/vocab/unit#Zloty	NA	pln
afghani	Afghani	Currency	AFN	http://qudt.org/vocab/unit#Afghani	NA	afn
algerianDinar	Algerian Dinar	Currency	DZD	http://qudt.org/vocab/unit#AlgerianDinar	NA	dzd
argentinePeso	Argentine Peso	Currency	ARS	http://qudt.org/vocab/unit#ArgentinePeso	NA	ars
armenianDram	Armenian Dram	Currency	AMD	http://qudt.org/vocab/unit#ArmenianDram	NA	amd
arubanGuilder	Aruban Guilder	Currency	AWG	http://qudt.org/vocab/unit#ArubanGuilder	NA	awg
australianDollar	Australian Dollar	Currency	AUD	http://qudt.org/vocab/unit#AustralianDollar	NA	aud
azerbaijanianManat	Azerbaijanian Manat	Currency	AZN	http://qudt.org/vocab/unit#AzerbaijanianManat	NA	azn
bahamianDollar	Bahamian Dollar	Currency	BSD	http://qudt.org/vocab/unit#BahamianDollar	NA	bsd
bahrainiDinar	Bahraini Dinar	Currency	BHD	http://qudt.org/vocab/unit#BahrainiDinar	NA	bhd
baht	Baht	Currency	THB	http://qudt.org/vocab/unit#Baht	NA	thb
balboa	Balboa	Currency	PAB	http://qudt.org/vocab/unit#Balboa	NA	pab
bangladeshiTaka	Bangladeshi Taka	Currency	BDT	http://qudt.org/vocab/unit#BangladeshiTaka	NA	bdt
barbadosDollar	Barbados Dollar	Currency	BBD	http://qudt.org/vocab/unit#BarbadosDollar	NA	bbd
belarussianRuble	Belarussian Ruble	Currency	BYR	http://qudt.org/vocab/unit#BelarussianRuble	NA	byr
belizeDollar	Belize Dollar	Currency	BZD	http://qudt.org/vocab/unit#BelizeDollar	NA	bzd
bermudaDollar	Bermuda Dollar	Currency	BMD	http://qudt.org/vocab/unit#BermudaDollar	NA	bmd
bolivianMvdol(FundsCode)	Bolivian Mvdol (Funds Code)	Currency	BOV	http://qudt.org/vocab/unit#BolivianMvdol	NA	bov
boliviano	Boliviano	Currency	BOB	http://qudt.org/vocab/unit#Boliviano	NA	bob
brazilianReal	Brazilian Real	Currency	BRL	http://qudt.org/vocab/unit#BrazilianReal	NA	brl
bruneiDollar	Brunei Dollar	Currency	BND	http://qudt.org/vocab/unit#BruneiDollar	NA	bnd
bulgarianLev	Bulgarian Lev	Currency	BGN	http://qudt.org/vocab/unit#BulgarianLev	NA	bgn
burundianFranc	Burundian Franc	Currency	BIF	http://qudt.org/vocab/unit#BurundianFranc	NA	bif
canadianDollar	Canadian Dollar	Currency	CAD	http://qudt.org/vocab/unit#CanadianDollar	NA	cad
capeVerdeEscudo	Cape Verde Escudo	Currency	CVE	http://qudt.org/vocab/unit#CapeVerdeEscudo	NA	cve
caymanIslandsDollar	Cayman Islands Dollar	Currency	KYD	http://qudt.org/vocab/unit#CaymanIslandsDollar	NA	kyd
cedi	Cedi	Currency	GHS	http://qudt.org/vocab/unit#Cedi	NA	ghs
cfaFrancBceao	Cfa Franc Bceao	Currency	XOF	http://qudt.org/vocab/unit#CFAFrancBCEAO	NA	xof
cfaFrancBeac	Cfa Franc Beac	Currency	XAF	http://qudt.org/vocab/unit#CFAFrancBEAC	NA	xaf
cfpFranc	Cfp Franc	Currency	XPF	http://qudt.org/vocab/unit#CFPFranc	NA	xpf
chileanPeso	Chilean Peso	Currency	CLP	http://qudt.org/vocab/unit#ChileanPeso	NA	clp
colombianPeso	Colombian Peso	Currency	COP	http://qudt.org/vocab/unit#ColombianPeso	NA	cop
comoroFranc	Comoro Franc	Currency	KMF	http://qudt.org/vocab/unit#ComoroFranc	NA	kmf
convertibleMarks	Convertible Marks	Currency	BAM	http://qudt.org/vocab/unit#ConvertibleMark	NA	bam
cordobaOro	Cordoba Oro	Currency	NIO	http://qudt.org/vocab/unit#CordobaOro	NA	nio
costaRicanColon	Costa Rican Colon	Currency	CRC	http://qudt.org/vocab/unit#CostaRicanColon	NA	crc
croatianKuna	Croatian Kuna	Currency	HRK	http://qudt.org/vocab/unit#CroatianKuna	NA	hrk
cubanPeso	Cuban Peso	Currency	CUP	http://qudt.org/vocab/unit#CubanPeso	NA	cup
cyprusPound	Cyprus Pound	Currency	CYP	http://qudt.org/vocab/unit#CyprusPound	NA	cyp
czechKoruna	Czech Koruna	Currency	CZK	http://qudt.org/vocab/unit#CzechKoruna	NA	czk
dalasi	Dalasi	Currency	GMD	http://qudt.org/vocab/unit#Dalasi	NA	gmd
danishKrone	Danish Krone	Currency	DKK	http://qudt.org/vocab/unit#DanishKrone	NA	dkk
denar	Denar	Currency	MKD	http://qudt.org/vocab/unit#Denar	NA	mkd
djiboutiFranc	Djibouti Franc	Currency	DJF	http://qudt.org/vocab/unit#DjiboutiFranc	NA	djf
dobra	Dobra	Currency	STD	http://qudt.org/vocab/unit#Dobra	NA	std
dominicanPeso	Dominican Peso	Currency	DOP	http://qudt.org/vocab/unit#DominicanPeso	NA	dop
eastCaribbeanDollar	East Caribbean Dollar	Currency	XCD	http://qudt.org/vocab/unit#EastCaribbeanDollar	NA	xcd
egyptianPound	Egyptian Pound	Currency	EGP	http://qudt.org/vocab/unit#EgyptianPound	NA	egp
ethiopianBirr	Ethiopian Birr	Currency	ETB	http://qudt.org/vocab/unit#EthiopianBirr	NA	etb
euro	Euro	Currency	EUR	http://qudt.org/vocab/unit#Euro	NA	eur
europeanCompositeUnit(Eurco)(BondsMarketUnit)	European Composite Unit (Eurco) (Bonds Market Unit)	Currency	XBA	http://qudt.org/vocab/unit#EuropeanCompositeUnit	NA	xba
europeanMonetaryUnit(E.M.U.-6)(BondsMarketUnit)	European Monetary Unit (E.M.U.-6) (Bonds Market Unit)	Currency	XBB	http://qudt.org/vocab/unit#EuropeanMonetaryUnit	NA	xbb
europeanUnitOfAccount17(E.U.A.-17)(BondsMarketUnit)	European Unit of Account 17 (E.U.A.-17) (Bonds Market Unit)	Currency	XBD	http://qudt.org/vocab/unit#EuropeanUnitOfAccount17	NA	xbd
europeanUnitOfAccount9(E.U.A.-9)(BondsMarketUnit)	European Unit of Account 9 (E.U.A.-9) (Bonds Market Unit)	Currency	XBC	http://qudt.org/vocab/unit#EuropeanUnitOfAccount9	NA	xbc
falklandIslandsPound	Falkland Islands Pound	Currency	FKP	http://qudt.org/vocab/unit#FalklandIslandsPound	NA	fkp
fijiDollar	Fiji Dollar	Currency	FJD	http://qudt.org/vocab/unit#FijiDollar	NA	fjd
forint	Forint	Currency	HUF	http://qudt.org/vocab/unit#Forint	NA	huf
francCongolais	Franc Congolais	Currency	CDF	http://qudt.org/vocab/unit#FrancCongolais	NA	cdf
gibraltarPound	Gibraltar Pound	Currency	GIP	http://qudt.org/vocab/unit#GibraltarPound	NA	gip
gold(OneTroyOunce)	Gold (One Troy Ounce)	Currency	XAU	http://qudt.org/vocab/unit#Gold-OunceTroy	NA	xau
goldFranc(SpecialSettlementCurrency)	Gold Franc (Special Settlement Currency)	Currency	XFO	http://qudt.org/vocab/unit#GoldFranc	NA	xfo
guarani	Guarani	Currency	PYG	http://qudt.org/vocab/unit#Guarani	NA	pyg
guineaFranc	Guinea Franc	Currency	GNF	http://qudt.org/vocab/unit#GuineaFranc	NA	gnf
guyanaDollar	Guyana Dollar	Currency	GYD	http://qudt.org/vocab/unit#GuyanaDollar	NA	gyd
haitiGourde	Haiti Gourde	Currency	HTG	http://qudt.org/vocab/unit#HaitiGourde	NA	htg
hongKongDollar	Hong Kong Dollar	Currency	HKD	http://qudt.org/vocab/unit#HongKongDollar	NA	hkd
hryvnia	Hryvnia	Currency	UAH	http://qudt.org/vocab/unit#Hryvnia	NA	uah
icelandKrona	Iceland Krona	Currency	ISK	http://qudt.org/vocab/unit#IcelandKrona	NA	isk
indianRupee	Indian Rupee	Currency	INR	http://qudt.org/vocab/unit#IndianRupee	NA	inr
iranianRial	Iranian Rial	Currency	IRR	http://qudt.org/vocab/unit#IranianRial	NA	irr
iraqiDinar	Iraqi Dinar	Currency	IQD	http://qudt.org/vocab/unit#IraqiDinar	NA	iqd
jamaicanDollar	Jamaican Dollar	Currency	JMD	http://qudt.org/vocab/unit#JamaicanDollar	NA	jmd
japaneseYen	Japanese Yen	Currency	JPY	http://qudt.org/vocab/unit#JapaneseYen	NA	jpy
jordanianDinar	Jordanian Dinar	Currency	JOD	http://qudt.org/vocab/unit#JordanianDinar	NA	jod
kenyanShilling	Kenyan Shilling	Currency	KES	http://qudt.org/vocab/unit#KenyanShilling	NA	kes
kina	Kina	Currency	PGK	http://qudt.org/vocab/unit#Kina	NA	pgk
kroon	Kroon	Currency	EEK	http://qudt.org/vocab/unit#Kroon	NA	eek
kuwaitiDinar	Kuwaiti Dinar	Currency	KWD	http://qudt.org/vocab/unit#KuwaitiDinar	NA	kwd
kwanza	Kwanza	Currency	AOA	http://qudt.org/vocab/unit#Kwanza	NA	aoa
kyat	Kyat	Currency	MMK	http://qudt.org/vocab/unit#Kyat	NA	mmk
laosKip	Laos Kip	Currency	LAK	http://qudt.org/vocab/unit#LaosKip	NA	lak
lari	Lari	Currency	GEL	http://qudt.org/vocab/unit#Lari	NA	gel
latvianLats	Latvian Lats	Currency	LVL	http://qudt.org/vocab/unit#LatvianLats	NA	lvl
lebanesePound	Lebanese Pound	Currency	LBP	http://qudt.org/vocab/unit#LebanesePound	NA	lbp
lek	Lek	Currency	ALL	http://qudt.org/vocab/unit#Lek	NA	all
lempira	Lempira	Currency	HNL	http://qudt.org/vocab/unit#Lempira	NA	hnl
leone	Leone	Currency	SLL	http://qudt.org/vocab/unit#Leone	NA	sll
liberianDollar	Liberian Dollar	Currency	LRD	http://qudt.org/vocab/unit#LiberianDollar	NA	lrd
libyanDinar	Libyan Dinar	Currency	LYD	http://qudt.org/vocab/unit#LibyanDinar	NA	lyd
bitsPerSecond	Bits per Second	Data rate	bps	http://qudt.org/vocab/unit#BitsPerSecond	NA	bps
kilobitPerSecond	Kilobit per Second	Data rate	kbps	http://qudt.org/vocab/unit#KilobitsPerSecond	NA	kbps
megabitPerSecond	Megabit per Second	Data rate	mbps	http://qudt.org/vocab/unit#MegabitsPerSecond	NA	mbps
centistokes	Centistokes	Diffusivity	cSt	http://qudt.org/vocab/unit#Centistokes	NA	cst
squareFootPerHour	Square Foot per Hour	Diffusivity	ft^2/hr	http://qudt.org/vocab/unit#SquareFootPerHour	NA	ft2phr
squareFootPerSecond	Square Foot per Second	Diffusivity	ft^2/s	http://qudt.org/vocab/unit#SquareFootPerSecond	NA	ft2ps
squareMeterPerSecond	Square Meter per Second	Diffusivity	m^2 s^-1	http://qudt.org/vocab/unit#SquareMeterPerSecond	NA	m2s1
stoke	Stoke	Diffusivity	St	http://qudt.org/vocab/unit#Stokes; http://unitsofmeasure.org/ucum.html#para-33; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	st
code	Code	Dimensionless	code	USGS	NA	code
dimensionless	Dimensionless	Dimensionless	-	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	
hounsfieldUnit	Hounsfield Unit	Dimensionless	hnsf'U	http://unitsofmeasure.org/ucum.html#para-44	NA	hnsfu
mach	Mach	Dimensionless		http://qudt.org/vocab/unit#Mach	NA	
partPerBillion	Part per Billion	Dimensionless	ppb	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/	1	ppb
partPerMillion	Part per Million	Dimensionless	ppm	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/	1	ppm
partPerQuadrillion	Part per Quadrillion	Dimensionless	ppq	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/	1	ppq
partPerQuintillion	Part per Quintillion	Dimensionless	ppqt	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	ppqt
partPerThousand	Part per Thousand	Dimensionless	ppth	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://qwwebservices.usgs.gov/service-domains.html	1	ppth
partPerTrillion	Part per Trillion	Dimensionless	ppt	http://environment.data.gov.au/def/unit/PerTrillion; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/	1	ppt
percent	Percent	Dimensionless	%	http://qudt.org/vocab/unit#Percent; http://unitsofmeasure.org/ucum.html#para-29; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/; http://qwwebservices.usgs.gov/service-domains.html	1	perc
perMille	Per Mille	Dimensionless	per mil	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/PerMil; http://qwwebservices.usgs.gov/service-domains.html	NA	permil
presenceOrAbsence	Presence or Absence	Dimensionless	PrsAbs	http://qwwebservices.usgs.gov/service-domains.html	1	prsabs
standardUnit	Standard Unit	Dimensionless	std units	http://qwwebservices.usgs.gov/service-domains.html	NA	stdunits
thresholdOdorNumber	Threshold Odor Number	Dimensionless	TON	http://qwwebservices.usgs.gov/service-domains.html	NA	ton
tritiumUnit	Tritium Unit	Dimensionless	TU	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/Tritium_Unit; http://qwwebservices.usgs.gov/service-domains.html	NA	tu
unitedStatesPharmacopeiaUnit	United States Pharmacopeia Unit	Dimensionless	USP'U	http://unitsofmeasure.org/ucum.html#para-45	NA	uspu
rem	REM	Dose equivalent	REM	http://qudt.org/vocab/unit#Rem; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/	NA	rem
sievert	Sievert	Dose equivalent	Sv	http://qudt.org/vocab/unit#Sievert; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/	NA	sv
centipoise	Centipoise	Dynamic viscosity	cP	http://qudt.org/vocab/unit#Centipoise	NA	cp
pascalSecond	Pascal Second	Dynamic viscosity	Pa-s	http://qudt.org/vocab/unit#PascalSecond	NA	pas
poise	Poise	Dynamic viscosity	P	http://qudt.org/vocab/unit#Poise; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/	NA	p
poundForceSecondPerSquareFoot	Pound Force Second per Square Foot	Dynamic viscosity	lbf-s/ft^2	http://qudt.org/vocab/unit#PoundForceSecondPerSquareFoot	NA	lbfspft2
poundForceSecondPerSquareInch	Pound Force Second per Square Inch	Dynamic viscosity	lbf-s/in^2	http://qudt.org/vocab/unit#PoundForceSecondPerSquareInch	NA	lbfspin2
poundPerFootHour	Pound per Foot Hour	Dynamic viscosity	lb/(ft-hr)	http://qudt.org/vocab/unit#PoundPerFootHour	NA	lbpfthr
poundPerFootSecond	Pound per Foot Second	Dynamic viscosity	lb/(ft-s)	http://qudt.org/vocab/unit#PoundPerFootSecond	NA	lbpfts
slugPerFootSecond	Slug per Foot Second	Dynamic viscosity	slug/(ft-s)	http://qudt.org/vocab/unit#SlugPerFootSecond	NA	slugpfts
abfarad	Abfarad	Electrical capacitance	abF	http://qudt.org/vocab/unit#Abfarad	NA	abf
farad	Farad	Electrical capacitance	F	http://qudt.org/vocab/unit#Farad; http://unitsofmeasure.org/ucum.html#para-30	NA	f
microfarad	Microfarad	Electrical capacitance	microF	http://qudt.org/vocab/unit#MicroFarad	NA	microf
nanofarad	Nanofarad	Electrical capacitance	nF	http://qudt.org/vocab/unit#NanoFarad	NA	nf
picofarad	Picofarad	Electrical capacitance	pF	http://qudt.org/vocab/unit#PicoFarad	NA	pf
statfarad	Statfarad	Electrical capacitance	statF	http://qudt.org/vocab/unit#Statfarad; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	statf
abcoulomb	Abcoulomb	Electrical charge	abC	http://qudt.org/vocab/unit#Abcoulomb	NA	abc
ampereHour	Ampere Hour	Electrical charge	A-hr	http://qudt.org/vocab/unit#AmpereHour	NA	ahr
c12Faraday	C12 Faraday	Electrical charge		https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	
chemicalEquivalent	Chemical Equivalent	Electrical charge	eq	http://unitsofmeasure.org/ucum.html#para-45	NA	eq
chemicalFaraday	Chemical Faraday	Electrical charge		https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	
coulomb	Coulomb	Electrical charge	C	http://qudt.org/vocab/unit#Coulomb	NA	c
faraday	Faraday	Electrical charge	F	http://qudt.org/vocab/unit#Faraday	NA	f
franklin	Franklin	Electrical charge	Fr	http://qudt.org/vocab/unit#Franklin	NA	fr
milliequivalent	Milliequivalent	Electrical charge	meq	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	meq
physicalFaraday	Physical Faraday	Electrical charge		http://www.unidata.ucar.edu/software/udunits/	NA	
planckCharge	Planck Charge	Electrical charge	Q_p	http://qudt.org/vocab/unit#PlanckCharge	NA	qp
statcoulomb	Statcoulomb	Electrical charge	statC	http://qudt.org/vocab/unit#Statcoulomb; http://www.unidata.ucar.edu/software/udunits/	NA	statc
coulombPerMeter	Coulomb per Meter	Electrical charge line density	C/m	http://qudt.org/vocab/unit#CoulombPerMeter	NA	cpm
coulombPerMole	Coulomb per Mole	Electrical charge per count		http://qudt.org/vocab/unit#CoulombPerMole	NA	
statcoulombPerMole	Statcoulomb per Mole	Electrical charge per count	statC/mol	http://qudt.org/vocab/unit#StatcoulombPerMole	NA	statcpmol
coulombPerKilogram	Coulomb per Kilogram	Electrical charge per mass	C/kg	http://qudt.org/vocab/unit#CoulombPerKilogram	NA	cpkg
hertzPerTesla	Hertz per Tesla	Electrical charge per mass	Hz T^-1	http://qudt.org/vocab/unit#HertzPerTesla	NA	hzt1
megahertzPerTesla	Megahertz per Tesla	Electrical charge per mass	MHz T^-1	http://qudt.org/vocab/unit#MegaHertzPerTesla	NA	mhzt1
milliequivalentPer100Gram	Milliequivalent per 100 Gram	Electrical charge per mass	meq/100 g	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	meqp100g
milliequivalentPerHectogram	Milliequivalent per Hectogram	Electrical charge per mass	meq/hg	http://environment.data.gov.au/def/unit/MilliEquivalentPerHectoGram	NA	meqphg
milliequivalentPerKilogram	Milliequivalent per Kilogram	Electrical charge per mass	meq/kg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	meqpkg
perTeslaSecond	Per Tesla Second	Electrical charge per mass	s^-1 T^-1	http://qudt.org/vocab/unit#PerTeslaSecond	NA	s1t1
roentgen	Roentgen	Electrical charge per mass	R	http://qudt.org/vocab/unit#Roentgen; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/	NA	r
coulombPerCubicMeter	Coulomb per Cubic Meter	Electrical charge volume density	C/m^3	http://qudt.org/vocab/unit#CoulombPerCubicMeter	NA	cpm3
microequivalentPerLiter	Microequivalent per Liter	Electrical charge volume density	ueq/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	ueqpl
milliequivalentPerLiter	Milliequivalent per Liter	Electrical charge volume density	meq/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	meqpl
